authority,amount,balance,pool,poolShare,dailyRewardsRate,farmer
7WBYcjFQYkckckKMG3t5nEaTrWkY3A4CZ4TM4boBoCvX,55919.705646,20457548.550772,Token 2poo,2.2824369651,175000,E5soFJphbDbfuxgWAH3wXKQjVbTo8dujCubt9j34VVpW
CLsWSaHvoDi2rMaPeproyRrMSbUktNgwJ2Xm3rUUe3Na,55641.89148,70.058873227,Token BREN,9.0843904460,43750,AvxyC74Ve8e1u8hGPa9zhy14kMRhusMdRW4GdvcbiLUz
679oBd4L19vKC8gFkWieszbQAoAZAzhQ2m8dAuVcKDb1,54460.074648,45937.438867777,Token PSop,8.8914407582,43750,3sAbaZbXaoRA8FQFt9V8qnVJFCSs3awmUHFFE7GgJyYE
DzfhAZAyAgt9jUa4g9FjVxc5Bbhsx7Vyrpie7jtRAxJp,54097.632386,6762395.306173388,Token UST3,1.7664533023,218750,HtbaxU83sHNxRQtugSJShGoPCLmJpVCW7ypcbrLCXJGL
7aknFVPieEmhRcznXUzFQuHP91g6HgUbf9DjezgW7YCp,53777.474016,6722374.378459775,Token UST3,1.7559991516,218750,78pjF3WcCK44JoffjdNQCC2w5HwqXMy2xT179P4mFJyK
FR19vMeG5dQWJgposu8RLyBuxQMsfur7EKfM3zdPNAeN,53709.58621,19649003.065935,Token 2poo,2.1922280088,175000,Gvj94ZWrsQjq3XuGd6TRSkc3jYELVeD8hfh8YZh7vQeh
4UXQm1VZVWYKoAkdDDws1Vagbz61R1vWTukKHuUDqYu3,52136.287196,7945687.477536,Token PaiY,8.5120468884,43750,9UvjWgP2j3ap8KjsJSqb7ZuDzwzZTkhDw4MEeAZaQw94
CuieVDEDtLo7FypA9SbLM9saXFdb1dsshEkyErMqkRQq,51349.461562,4994547.75563857,Token HUSD,8.3835855613,43750,28JKyGNaXYstYd3TWaYdeJmRh7GR4BeM5i7pzZB2ry26
C7SC1TC5vBBTN6hz2hswdAyXBMNhsz9qCJBSvS8JsHwx,51327.384906,4992400.45190499,Token HUSD,8.3799812100,43750,4CiDzcsCNTDtS7m8RPb17fCzK2wC3CuF79wdb1Qu62b6
5az8y7L8SYicc59xSibjtsMgFMJzmTKZC4kBhKBkq6bW,49754.789308,230.08200218,Token SLPb,2.7077436355,131250,24LkSY6Jy8VuKPpdMcLgpyNM7Ahi5z2cPdy7Cf8y66Ce
FFa6DYaNxikF96XxGx98PTGiN8r9LW3fr4uz7pnTLqrK,49155.86179,61.892293704,Token BREN,8.0254468236,43750,CJEGv4f5z28J37NJCf22xyeXRUA52RWShFJDh8BpiLCK
CsmHqWmq5KHNpQ6YkffiByqdp23zphHqN27orXb1gkye,48798.62778,6100000.996543627,Token UST3,1.5934245806,218750,HSaGLKsiHDGUbXZRNrQ9R6WWmxjtoKZToSCUgcxpiuNj
EH1n2vjgr4n4pPWfeCjkHgHB6GaqLoaBbZomWRHv9WpC,48347.382818,12352234.06574,Token APUV,7.8934502567,43750,9EkpQMGb2twhz2qjvqHdQZppCiEm9J2RAZRJwzHhBqL8
f85sXRUwTYPCg1fxLk7FTPUsoT1oGo9dbeAthGgZajF,48023.056844,99.57796727,Token pBTC,7.8404990769,43750,BUVE6i5n2scFgh4rau8i1AsCWwCvE441AUnVYL5tVQXB
8MmxQAmm3W3woGBjF94ZpzqeXV8GxuV77JnxZ5SC5iBs,47110.309806,3245210.188354293,Token BUSD,7.6914791530,43750,imJwmLCQJyVVgatd9j9EJeeRFpLN67zHMUmmSbFTe1Z
Cwmt6hcoFmUUt99QFRHrbREiu15R6wiJygB21KK9QP8,46717.518792,148130.273302461,Token SoLE,3.8136750039,87500,B7KNKgPba8BGqsYkGgLDYxxraHph4ZPVoqyBBrUsvG4C
GJ8pC5mFPCgQQcRL7xd5zRiy9k7K69ivVSZ3FryGy4Wo,43604.77037,2567860.438496697,Token FRAX,7.1191461825,43750,D3vmUrtYyFUKFmeJo3iLTLFjtAR2JQJRamBKszXwwn8U
9Q5m3PNznc7QbUrM4Y2yaD8whE437dxG5n2QKdpP3DGi,43248.829372,199.99637007,Token SLPb,2.3536777890,131250,CL1DjLr6yeBUysjUjjXh8WQN3zPzwDkmf4Dmuf5ttTKs
J8sLasjYptffAgQs6fn2U72wyhFn6XACBZ8wQ4VXhHQU,43125.608498,199.42655748,Token SLPb,2.3469718911,131250,GgVNi1BjNVs4p1pnESo72pw2dchJFkKaqU1Q2hhXQ9Jr
2cy7fYkNYQJK68pwt4vZ8MJPC1F7AFCQAzbXkfF6mK2o,43076.370666,199.19886603,Token SLPb,2.3442922809,131250,FDJSbWnngyv9m1Tr3BYReRHKNUyHi7ey9jJ4YUmA5yW8
4K5Z8adf5TRGwFjcYmYGmf7NRZFouBmJw6PLMuVQfZS1,42394.70837,61917.447203821,Token PrsV,6.9215850402,43750,BEz5v8iYwzJuz3dmuMaVws6kUT6eNVfEWFDnf2iB9jUE
